"Metabolite name"	"m/z similarity"	"l2fc"	"p"
"D-(+)-Glyceric acid"	"1.00"	0.084995153931343	0.577510104156023
"D-(-)-Erythrose"	"0.98"	-0.309800557337748	0.6941788799356
"D-(-)-Gulono-gamma-lactone"	"0.99"	-0.464067697668067	0.7056241130264
"D-(-)-Quinic acid"	"1.00"	0.858346704456628	0.36300420619902
"D-Ala-D-ala"	"0.99"	-0.29162697449348	0.451626967473102
"D-Carnitine"	"0.98"	-0.725913125191813	0.443688540509647
"D-Glucose 1-phosphate"	"0.97"	1.32448275543796	0.362423513975059
"D-Sorbitol 6-phosphate"	"0.99"	-0.15603054993739	0.737910869649115
"DErySphingosine"	"0.98"	-0.318981465518249	0.0789618952011575
"DL-3,4-Dihydroxymandelic acid"	"1.00"	0.114521499432939	0.87461829591384
"DL-Isocitric acid"	"0.98"	0.417138403345273	0.601668190315301
"Deoxycholic acid"	"0.99"	0.449979842402367	0.136722758783839
"Dexamethasone"	"0.99"	0.693737858067094	0.407468059422741
"Di(ethylhexyl) phthalate"	"1"	-0.263582363492	0.613392580146865
"Diazinon"	"0.99"	0.674160909952353	0.521397888341824
"Diazoxon"	"0.97"	-0.173750931740973	0.70710552396168
"Dicamba"	"0.95"	-0.106606418059201	0.753396873008205
"Dichlorvos"	"1"	-1.04583822778117	0.225174534617348
"Dihydrotestosterone"	"0.61"	-0.0652722568250543	0.858813924361745
"Dihydrozeatin-9-beta-D-glucoside"	"0.85"	-0.534638415900287	0.39842685210501
"Dinoseb"	"0.84"	-1.02116704729981	0.427532718047039
"Diphenoxylate"	"0.96"	0.542767552168214	0.235423792075719
"Diuron-desmethyl"	"0.74"	-0.187381016684809	0.483716364728133
"Drofenine"	"0.94"	-0.282157052704077	0.0254220896607754
"Emetine"	"1"	-0.26577030189483	0.627939173630145
"Enalapril"	"1"	0.884976443829506	0.101804389213431
"Enalaprilat"	"1"	-0.546092805919778	0.0481151065278183
"Eprosartan"	"0.98"	-0.11088851160222	0.498122222704905
"Estriol"	"0.75"	-0.193839153951647	0.614004328403744
"Exemestane"	"0.87"	0.508587580271538	0.559862986143169
"Fenofibric acid"	"1.00"	-0.460567277251578	0.707977329487558
"Fenpropimorph"	"0.99"	-0.822776382567975	0.275019503844434
"Fipronil"	"0.93"	-0.533171431370879	0.274490670908844
"Flufenamic acid"	"1"	0.91851356437463	0.356519295407917
"Forskolin"	"0.77"	-0.0576880845939833	0.408626654288553
"Fortunellin"	"0.99"	1.03467926027758	0.296873289874075
"Fucoxanthin"	"0.83"	3.87518468857452	0.0213174085848427
"Fukugetin"	"0.94"	-0.318865584053439	0.349115693086623
"GalNAcFucGlcNAcThrNAc-I"	"0.64"	3.41710945081771	0.107019607078928
