Sample_ID	Well	Plate_ID	Isolate	Comments	Group	Rep	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
0	A1	Combined_curves	BY4741	WT_Pre-shift	1	1	0	0	0.015777937	0.015777937	0.149551858	0.7283853945000001		0.015777937	6.603673369435347e-05	1.6121655508887338	0.9990575349871045	2.0048703851274716	1.1002344339878523	1.3333333333333333	1.2278029371153731	0.194075871537127	0.5645426962314004	0.16666666666666666	1.3333333333333333	0.0	0.0	0.0013957697690911708	0.0	0.0	1.5	FALSE
0	A1	Combined_curves	BY4741	WT_Pre-shift	1	1	0	0	0.015777937	0.015777937	0.149551858	0.7283853945000001		0.015777937	6.603673369435347e-05	0.3537572827977152	0.3061846726684569	0.49172616417715376	0.3999339488624689	3.1666666666666665	0.35274499799192205	0.22640494635344333	1.965009240402662	2.6666666666666665	3.1666666666666665	0.0	0.0	1.9613407610025653	1.5	1.5	3.3333333333333335	FALSE
0	A1	Combined_curves	BY4741	WT_Pre-shift	1	1	0	0	0.015777937	0.015777937	0.149551858	0.7283853945000001		0.015777937	6.603673369435347e-05	0.26355854788029554	-0.06088398550773083	0.8516264805553446	0.6160644315175963	5.0	0.5906263814792981	-0.882878712618057	1.1735797829143204	4.5	5.833333333333333	1.1128268791592495	0.918793001703631	3.8198908437754464	3.3333333333333335	3.3333333333333335	11.0	FALSE
1	A2	Combined_curves	BY4741	WT_Pre-shift	1	2	0	0	0.016056083	0.016056083	0.152519354	0.7690783806666667		0.016056083	9.17019338130517e-05	1.7433297502268346	1.0645448539694997	1.9768962329773179	1.0908812251874223	1.3333333333333333	1.5416992913730303	0.0708906669067824	0.44959946757362235	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	1.5	FALSE
1	A2	Combined_curves	BY4741	WT_Pre-shift	1	2	0	0	0.016056083	0.016056083	0.152519354	0.7690783806666667		0.016056083	9.17019338130517e-05	0.29598125775985407	0.26045198642156236	0.41488484285285754	0.34704814464055644	3.1666666666666665	0.3164935353779693	0.19490149387472577	2.190083218389156	2.5	3.1666666666666665	0.0	0.0	1.9699228639480095	1.5	1.5	3.3333333333333335	FALSE
1	A2	Combined_curves	BY4741	WT_Pre-shift	1	2	0	0	0.016056083	0.016056083	0.152519354	0.7690783806666667		0.016056083	9.17019338130517e-05	0.481900940851061	0.19220885925822534	0.8085171899039567	0.5925072774264721	5.0	0.5331306003196516	-0.7465523825536845	1.300145180457381	4.333333333333333	5.833333333333333	1.047932761719368	0.8661754341918819	3.6943826205300456	3.3333333333333335	3.3333333333333335	11.0	FALSE
2	A3	Combined_curves	BY4741	WT_Pre-shift	1	3	0	0	0.031443419	0.031443419	0.17661017	0.812755802		0.031443419	0.00019293102110620738	1.1196954688130305	0.7775583500368013	1.3268465215267282	0.844513926634349	1.3333333333333333	0.9524644982733768	0.0830480334664562	0.7277406998544085	0.16666666666666666	1.3333333333333333	0.0	0.0	0.003767496538461562	0.0	0.0	1.5	FALSE
2	A3	Combined_curves	BY4741	WT_Pre-shift	1	3	0	0	0.031443419	0.031443419	0.17661017	0.812755802		0.031443419	0.00019293102110620738	0.1027598874098748	0.09648505989374226	0.1884160473544605	0.17262136784269655	3.0	0.20345001758582537	0.15561107981356684	3.4069654492290287	2.6666666666666665	3.0	0.0	0.0	2.117107761831345	1.5	1.5	3.1666666666666665	FALSE
2	A3	Combined_curves	BY4741	WT_Pre-shift	1	3	0	0	0.031443419	0.031443419	0.17661017	0.812755802		0.031443419	0.00019293102110620738	-1.5557245563539088	-2.5709939204374783	0.7542419050969531	0.5620368006872576	4.833333333333333	0.5672430441618067	-1.2262660500539593	1.2219580084656345	4.166666666666667	5.666666666666667	1.2960138729781865	1.3424251327374805	3.6239157346915327	3.1666666666666665	3.1666666666666665	11.0	FALSE
3	A4	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.022562983999999998	0.022562983999999998	0.21420618600000002	1.106523159		0.022562983999999998	0.00016111049854153532	1.3516341668405571	0.8868791490306954	1.671275811657206	0.9825561903681135	1.3333333333333333	1.0848790909976915	0.1944942507179762	0.6389165265619634	0.16666666666666666	1.3333333333333333	0.0	0.0	0.0011466598181479604	0.0	0.0	1.5	FALSE
3	A4	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.022562983999999998	0.022562983999999998	0.21420618600000002	1.106523159		0.022562983999999998	0.00016111049854153532	0.25611874875004637	0.2285474265813055	0.37906634891803814	0.32140671144491406	3.0	0.2904086898846085	0.23666215425687323	2.3867990342691248	2.5	3.0	0.0	0.0	1.8667351276100468	1.5	1.5	3.1666666666666665	FALSE
3	A4	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.022562983999999998	0.022562983999999998	0.21420618600000002	1.106523159		0.022562983999999998	0.00016111049854153532	2.8163123142972637	2.2305025847633435	1.2048269072258435	0.7906490056931792	5.0	0.6738400183765672	-0.7390562616381829	1.0286524422071184	4.333333333333333	5.833333333333333	1.078439965701685	0.6716338924458425	3.6548228012552713	3.1666666666666665	3.1666666666666665	11.0	FALSE
4	A5	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	2	0	0	0.022839186	0.022839186	0.22775009	1.143671413333333		0.022839186	0.00015869047734494898	1.1973758024329357	0.790813276637365	1.5750885003925186	0.9458839026095692	1.1666666666666667	1.436347311753079	0.14211750547363974	0.48257630650204714	0.0	1.1666666666666667	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	FALSE
