Sample_ID	Well	Plate_ID	Isolate	Comments	Group	Rep	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
0	A1	Combined_curves	BY4741	WT_Pre-shift	1	1	0	0	0.015777937	0.015777937	0.149551858	0.7283853945000001		0.015777937	0.5550899354700816	14.916025737050374	0.11720325179025895	2.1259043464943903	0.08092272032269793	0.9467510551237948	1.2278029371153731	-0.882878712618057	0.5645426962314004	0.04131161076629439	0.0	5.0	0.16666666666666666	5.833333333333333	1.0	6.603673369435347e-05	FALSE
1	A2	Combined_curves	BY4741	WT_Pre-shift	1	2	0	0	0.016056083	0.016056083	0.152519354	0.7690783806666667		0.016056083	0.5760996236382114	15.430242100859022	0.1149261857341875	2.103296589688563	0.07786992468503574	0.8963489369809623	1.5416992913730303	-0.7465523825536845	0.44959946757362235	-0.02252554306507865	0.0	5.0	0.0	5.833333333333333	1.0	9.17019338130517e-05	FALSE
2	A3	Combined_curves	BY4741	WT_Pre-shift	1	3	0	0	0.031443419	0.031443419	0.17661017	0.812755802		0.031443419	0.4398986371775583	8.19092376871736	0.12836863553309918	1.6296137385289244	0.11924654253841437	1.35997818853629	0.9524644982733768	-1.2262660500539593	0.7277406998544085	-0.016380700927667052	0.0	4.833333333333333	0.16666666666666666	5.666666666666667	1.0	0.00019293102110620738	FALSE
3	A4	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	1	0	0	0.022562983999999998	0.022562983999999998	0.21420618600000002	1.106523159		0.022562983999999998	0.8557470495360748	15.535028864277884	0.1659214447253503	2.1180044929265605	0.09424700374989525	0.6979208963139598	1.0848790909976915	-0.7390562616381829	0.6389165265619634	0.03798020862981763	0.0	5.0	0.16666666666666666	5.833333333333333	1.0	0.00016111049854153532	FALSE
4	A5	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	2	0	0	0.022839186	0.022839186	0.22775009	1.143671413333333		0.022839186	0.8727809917682504	15.833255172317354	0.17206021669745827	2.1474599111160733	0.10344218386783688	0.7527198006188933	1.436347311753079	-0.690189504312792	0.48257630650204714	-0.020259243377900582	0.0	5.0	0.0	5.833333333333333	1.0	0.00015869047734494898	FALSE
5	A6	Combined_curves	YGR067C_ko	YGR067C_Pre-shift	2	3	0	0	0.027321026	0.027321026	0.17793424	0.9029776001666666		0.027321026	0.5343480874393305	11.218459502989981	0.10311604690021421	1.5930285225570566	0.0871744346563139	1.046134874754049	0.8148601587747617	-0.31503998617638945	0.8506332934502207	-0.16550966123584773	0.0	4.666666666666667	0.0	5.833333333333333	1.0	0.00025499503224560386	TRUE
6	A7	Combined_curves	BY4741	WT_Post-shift	3	1	0	0	0.015659256	0.015659256	0.23059598899999997	1.5508772276666665		0.015659256	1.3875747079123948	21.882796219105884	0.21417596290550478	2.681298875564339	0.00233257544332216	0.010252165220935083	1.5178963281847089	-0.06980000574207669	0.45664988292639047	0.05009926930655186	0.0	10.666666666666666	0.0	11.0	1.0	3.624385466717792e-05	FALSE
7	A8	Combined_curves	BY4741	WT_Post-shift	3	2	0	0	0.015659256	0.015659256	0.256110868	1.675485391		0.015659256	1.5049129514005657	22.700818420282225	0.2378949539795596	2.7827161868198687	0.0	0.0	2.146527364326786	0.04783919816171198	0.3229156040958912	0.013761632290167157	0.0	11.0	0.0	11.0	1.0	2.6258312396199717e-05	FALSE
8	A9	Combined_curves	BY4741	WT_Post-shift	3	3	0	0	0.030159	0.030159	0.299802435	2.0553165105		0.030159	1.6926814690027192	18.222148693130322	0.2626272781350865	2.279641705861742	0.0020042281088503144	0.006822996528849323	1.093292486032922	-0.027681740726169298	0.6339997662245642	-0.05767695576750628	0.0	10.5	0.0	11.0	1.0	0.00016916157949207198	FALSE
9	A10	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.022562983999999998	0.022562983999999998	0.35728871700000003	2.2896450196666662		0.022562983999999998	2.041290473523617	21.703533048990746	0.3284456866574826	2.7430730196157995	0.00034167264001172537	0.0009752679483234772	1.23158408802724	-0.00802105188265086	0.5628094640863973	0.01821801142254167	0.0	10.666666666666666	0.0	11.0	1.0	9.822424295774572e-05	FALSE
10	A11	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	2	0	0	0.023024032000000003	0.023024032000000003	0.358001022	2.3260585124999995		0.023024032000000003	2.068430154716322	21.875602425437695	0.333363443459208	2.739276298590333	0.0	0.0	1.782718028663071	0.006701533266458039	0.38881481502700854	0.0017714211913698746	0.0	11.0	0.0	11.0	1.0	6.619292043027504e-05	FALSE
11	A12	Combined_curves	YGR067C_ko	YGR067C_Post-shift	4	3	0	0	0.028080725	0.028080725	0.29440086600000004	1.9842284819999998		0.028080725	1.6712401228131015	18.548936073500983	0.2594934826792197	2.3249102270799824	0.0	0.0	1.3717324002925044	-0.010687135946534298	0.5053078723023094	0.011180947699523132	0.0	11.0	0.0	11.0	1.0	0.00016700195241588605	FALSE
