Sample_ID	Well	Plate_ID	Isolate	Comments	Group	Replicate	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
0	A1	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0333125718086377	0.0333125718086377	0.152851797098773			0.0333125718086377	0.2758449196144288	5.593394009935741	0.10445104950981826	1.4298653654266844	0.10324583653792668	1.353987181616811	0.68867791052862	-1.1980416246966537	1.0064896375547965	2.2217979791050606	0.0	4.5	4.0	5.166666666666667	1.0	8.538651639890546e-05	FALSE
1	A2	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0548670119530546	0.0548670119530546	0.37475275657156604			0.0548670119530546	1.736552256019795	12.610130739631847	0.3187762706103607	1.9188655293839894	0.0	0.0	0.4695573651144661	0.029840938759542746	1.476171458605433	1.784879318429602	0.0	10.5	3.8333333333333335	10.5	0.0	1.7318232034386736e-05	FALSE
2	A3	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0446478245710834	0.0443829530634286	0.16739864854601902			0.0446478245710834	0.292196017725607	4.751996470196427	0.1024045894897895	1.1977778324070256	0.09422756829542436	1.01355428550309	0.6468395573426364	-1.0617460775785013	1.0715905864006696	2.509150756445048	0.0	4.5	4.0	5.166666666666667	1.0	8.850414286654899e-05	FALSE
3	A4	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0542628301154041	0.0542628301154041	0.409666698023952			0.0542628301154041	1.9594133786818928	13.6460514853956	0.3471037535701824	2.005629418138005	0.0	0.0	0.4950704702497994	0.06817104282595919	1.4000980107139125	1.6731660313363088	0.0	10.5	3.8333333333333335	10.5	0.0	1.914964043339212e-05	FALSE
4	A5	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0449136789032441	0.0401512794981067	0.181957976485574			0.0449136789032441	0.2316959071919173	3.5553163266668677	0.11198691509032195	1.257957574313979	0.11609456028030744	1.326888714391052	0.6610570826764106	-1.3259999114644092	1.0485436110201134	2.433018414969305	0.0	4.5	4.0	5.166666666666667	1.0	0.00014055493165657126	FALSE
5	A6	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0623117592997252	0.0595438897161919	0.402449232341101			0.0623117592997252	1.776765595446277	11.883617215153997	0.3344911612729027	1.8504534759527118	0.0	0.0	0.4790676963653158	0.04401238109603669	1.4468668745959066	1.9612285613083018	0.0	10.5	4.0	10.5	1.0	2.9251676356295974e-05	FALSE
6	A7	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.041406407396862	0.0371132903904241	0.185469793275235			0.041406407396862	0.27361407097372126	4.289489462358221	0.11945418828375877	1.3599779595812658	0.1202090961152213	1.3670475012866339	0.6638498050047632	-1.3181706360459473	1.044132536206698	2.2910697322152216	0.0	4.5	4.0	5.166666666666667	1.0	0.00012816586386772298	FALSE
7	A8	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0584292645100394	0.0584292645100394	0.411286980762122			0.0584292645100394	1.9903829081258382	13.187996825601289	0.34871632600932745	1.9405700796221659	0.0	0.0	0.4571830522512817	0.05986321914088519	1.5161261493546583	1.593052650117548	0.0	10.5	3.8333333333333335	10.5	0.0	6.778150977610628e-05	FALSE
8	A9	plate_1	BY4741	WT_Pre-shift	1	1	0	0	0.0385539785358482	0.0293184421731588	0.18429267832612198			0.0385539785358482	0.21848304520426204	3.3597042618623103	0.12360516017246592	1.4424970113600544	0.1331306878711982	1.6933335625977342	0.7419649777361299	-1.7922178163011353	0.9342047149918901	2.433571567123738	0.0	4.5	4.166666666666667	5.166666666666667	1.0	0.000160312232187486	FALSE
9	A10	plate_1	YGR067C_ko	YGR067C_Post-shift	4	1	0	0	0.0598650169540504	0.0598650169540504	0.438044529003612			0.0598650169540504	2.1134523678138484	13.406919365310468	0.3682163513565204	1.9678110463929706	0.0	0.0	0.5049660087435042	0.05266265256769924	1.3726610673947899	1.7787413713353049	0.0	10.5	3.8333333333333335	10.5	0.0	7.48022901715466e-05	FALSE
