Sample_ID	Well	Plate_ID	Isolate	Group	Replicate	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
4	A5	Combined_curves	YGR067C_ko	2	5	0	0	0.022839186	0.022839186	0.22775009	1.143671413		0.022839186	0.00015869	1.1973757925810369	0.7908132719652936	1.5750884895394708	0.9458838983949382	1.1666666666666667	1.4363472979747895	0.14211750684720914	0.48257631113120336	0	1.1666666666666667	0	0	0	0	0	1.3333333333333333	FALSE
4	A5	Combined_curves	YGR067C_ko	2	5	0	0	0.022839186	0.022839186	0.22775009	1.143671413		0.022839186	0.00015869	0.18707186672170883	0.1700387147104687	0.31094288062474296	0.27074663451488135	2.8333333333333335	0.2833321554647269	0.23978126193391358	2.4464119839240692	2.5	2.8333333333333335	0	0	1.8574917291118247	1.3333333333333333	1.3333333333333333	3	FALSE
4	A5	Combined_curves	YGR067C_ko	2	5	0	0	0.022839186	0.022839186	0.22775009	1.143671413		0.022839186	0.00015869	3.298968396357584	2.553251102838255	1.3349118211016995	0.847974126	5	0.6823166630745788	-0.690189507	1.015873154022889	4.333333333333333	5.833333333333333	1.222885370534176	0.7417901443985593	3.5491223892443977	3	3	11	FALSE
5	A6	Combined_curves	YGR067C_ko	2	6	0	0	0.027321025869900997	0.027321025869900997	0.17793424	0.9029776009155575		0.027321025869900997	0.000254995	1.6067641797797403	1.1040720993117732	1.3791102155515205	0.8667265587687136	1.8333333333333333	0.8148601579555668	0.075159057	0.850633294	0	1.8333333333333333	0	0	0	0	0	2	TRUE
5	A6	Combined_curves	YGR067C_ko	3	6	0	0	0.027321025869900997	0.027321025869900997	0.17793424	0.9029776009155575		0.027321025869900997	0.000254995	1.1494215095689613	0.6456540229196406	0.7879061561638829	0.5810451900069615	4.666666666666667	0.3674228288587728	-0.315039984	1.886510924519532	3.6666666666666665	5.833333333333333	1.1487340200201535	1.0286266672523114	2.7343190493926333	2	2	11	TRUE
6	A7	Combined_curves	BY4741	3	7	0	0	0.015659256	0.015659256	0.230595989	1.5508772271011702		0.015659256	3.6243854142099116e-05	2.087417244009157	1.2431288410031311	2.2303825854629635	1.172600577731966	1.5	1.517896324816871	0.19689050339608968	0.456649884	0	1.5	0	0	0	0	0	1.6666666666666667	FALSE
6	A7	Combined_curves	BY4741	3	7	0	0	0.015659256	0.015659256	0.230595989	1.5508772271011702		0.015659256	3.6243854142099116e-05	0.28181125498402515	0.2502659767659393	0.40518271431674857	0.34016734010753535	3.1666666666666665	0.29590722330266117	0.29590722330266117	2.3424476524217095	3.1666666666666665	3.1666666666666665	0	0	2.017092363238447	1.6666666666666667	1.6666666666666667	3.3333333333333335	FALSE
6	A7	Combined_curves	BY4741	3	7	0	0	0.015659256	0.015659256	0.230595989	1.5508772271011702		0.015659256	3.6243854142099116e-05	11.457841116920761	6.574058046341171	2.2079807450924163	1.1656416878330182	10.666666666666666	0.408446304	-0.028824259	1.6970337922312266	5	10.833333333333334	0.007033492	0.002194905	3.5906788307657442	3.3333333333333335	3.3333333333333335	11	FALSE
7	A8	Combined_curves	BY4741	3	8	0	0	0.015659256	0.015659256	0.25611086801082605	1.6754853909935266		0.015659256	2.6258312541686133e-05	2.0107803258989074	1.178686887970277	2.183421209685008	1.1579564705801662	1.3333333333333333	2.1465273415613413	0.095145838	0.3229156075206402	0	1.3333333333333333	0	0	0	0	0	1.5	FALSE
7	A8	Combined_curves	BY4741	3	8	0	0	0.015659256	0.015659256	0.25611086801082605	1.6754853909935266		0.015659256	2.6258312541686133e-05	0.4046983111024552	0.34898008588047036	0.5154221637633767	0.41569405609339793	3.3333333333333335	0.3003982971161589	0.2667518732952472	2.3074271299611167	2.8333333333333335	3.3333333333333335	0	0	1.9235496934824778	1.5	1.5	3.5	FALSE
7	A8	Combined_curves	BY4741	3	8	0	0	0.015659256	0.015659256	0.25611086801082605	1.6754853909935266		0.015659256	2.6258312541686133e-05	11.312989236777456	6.459585150457482	2.231540129453892	1.172958843856269	10.833333333333334	0.4458462846024199	0.051405629	1.5546774852639047	5	10.833333333333334	0	0	3.8364286571187507	3.5	3.5	11	FALSE
8	A9	Combined_curves	BY4741	3	9	0	0	0.030159	0.030159	0.299802435	2.055316510139486		0.030159	0.000169162	1.749500737951148	1.1827385745239571	1.4349289968529577	0.8899175967061067	1.8333333333333333	1.093292463584134	0.078166073	0.6339997792426055	0	1.8333333333333333	0	0	0	0	0	2	FALSE
8	A9	Combined_curves	BY4741	3	9	0	0	0.030159	0.030159	0.299802435	2.055316510139486		0.030159	0.000169162	14.792651472061214	7.855727367	2.725997454470962	1.3153345889990673	10.5	0.3948799240205167	-0.017817632	1.7553365932169587	4.5	10.833333333333334	0.011331366450057168	0.003045797	3.090916832012714	2	2	11	FALSE
9	A10	Combined_curves	YGR067C_ko	4	10	0	0	0.022562984	0.022562984	0.357288717	2.289645019718075		0.022562984	9.822424212947695e-05	2.197769982662978	1.3783462706975809	1.9102939892857322	1.0682541033264488	1.8333333333333333	1.2315840727568534	0.15602532941087277	0.5628094710646607	0	1.8333333333333333	0	0	0	0	0	2	FALSE
9	A10	Combined_curves	YGR067C_ko	4	10	0	0	0.022562984	0.022562984	0.357288717	2.289645019718075		0.022562984	9.822424212947695e-05	23.47515499133196	10.281042943973347	4.327332399325431	1.6728506249604251	10.666666666666666	0.49065765503930064	-0.00293059	1.4126900364051707	4.333333333333333	10.833333333333334	0.000334772	6.284235158915408e-05	2.864254590093899	2	2	11	FALSE
10	A11	Combined_curves	YGR067C_ko	4	11	0	0	0.023024032135727998	0.023024032135727998	0.358001022	2.3260585123456416		0.023024032135727998	6.619292039057775e-05	1.5811103063851917	1.0053554937330968	1.7371080297764032	1.006901899420794	1.3333333333333333	1.782718019467097	0.11515128691239107	0.3888148170326712	0	1.3333333333333333	0	0	0	0	0	1.5	FALSE
10	A11	Combined_curves	YGR067C_ko	4	11	0	0	0.023024032135727998	0.023024032135727998	0.358001022	2.3260585123456416		0.023024032135727998	6.619292039057775e-05	24.87748537215959	10.730113965550846	4.565925319950404	1.7166632458290676	10.833333333333334	0.47328542454328854	0.025321919	1.464543686780169	4.666666666666667	10.833333333333334	0	0	2.704030771862061	1.5	1.5	11	FALSE
11	A12	Combined_curves	YGR067C_ko	4	12	0	0	0.028080725	0.028080725	0.29440086560275397	1.9842284817507716		0.028080725	0.000167002	1.5751126266259075	1.0369054016809514	1.552097511852085	0.9369155747259486	1.5	1.371732421858625	0.074531018	0.5053078643579536	0	1.5	0	0	0	0	0	1.6666666666666667	FALSE
11	A12	Combined_curves	YGR067C_ko	4	12	0	0	0.028080725	0.028080725	0.29440086560275397	1.9842284817507716		0.028080725	0.000167002	16.52759431	8.460034628701115	3.0294947613608016	1.3936409987098135	10.833333333333334	0.40187381656401605	0.011293468702587756	1.7247881100746736	5	10.833333333333334	0	0	3.0057905614255382	1.6666666666666667	1.6666666666666667	11	FALSE
