Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
0	A1	Combined_curves	1	0	0	0.0157779370357753	0.0157779370357753	0.14955185756430403	0.7283853945823189		0.0157779370357753	6.60367335020948e-05	1.6121655146735716	0.999057520424615	2.0048703379094586	1.1002344182740253	1.3333333333333333	1.2278029221916968	0.19407587706634868	0.5645427030932936	0.16666666666666666	1.3333333333333333	0.0	0.0	0.0013957694656127617	0.0	0.0	1.5	FALSE
0	A1	Combined_curves	1	0	0	0.0157779370357753	0.0157779370357753	0.14955185756430403	0.7283853945823189		0.0157779370357753	6.60367335020948e-05	0.3537572919273666	0.30618468017426775	0.49172617015792275	0.39993395287176314	3.1666666666666665	0.3527449943035027	0.22640494657958168	1.9650092609494543	2.6666666666666665	3.1666666666666665	0.0	0.0	1.9613407394988251	1.5	1.5	3.3333333333333335	FALSE
0	A1	Combined_curves	1	0	0	0.0157779370357753	0.0157779370357753	0.14955185756430403	0.7283853945823189		0.0157779370357753	6.60367335020948e-05	0.26355854522332334	-0.0608839892048428	0.8516264835405813	0.6160644331298204	5.0	0.5906263843208582	-0.8828787204032927	1.1735797772681156	4.5	5.833333333333333	1.112826885483116	0.9187930078348476	3.8198908481857727	3.3333333333333335	3.3333333333333335	11.0	FALSE
1	A2	Combined_curves	1	0	0	0.0160560834721645	0.0160560834721645	0.15251935423022	0.7690783801701678		0.0160560834721645	9.170193415161012e-05	1.743329693820296	1.0645448299398557	1.9768961896677006	1.0908812106388408	1.3333333333333333	1.5416992201312028	0.07089067860964729	0.4495994883495865	0.0	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	1.5	FALSE
1	A2	Combined_curves	1	0	0	0.0160560834721645	0.0160560834721645	0.15251935423022	0.7690783801701678		0.0160560834721645	9.170193415161012e-05	0.29598125133511954	0.26045198124916036	0.4148848387266868	0.34704814172429743	3.1666666666666665	0.3164935310449909	0.19490150292711975	2.190083248372655	2.5	3.1666666666666665	0.0	0.0	1.9699228732138592	1.5	1.5	3.3333333333333335	FALSE
1	A2	Combined_curves	1	0	0	0.0160560834721645	0.0160560834721645	0.15251935423022	0.7690783801701678		0.0160560834721645	9.170193415161012e-05	0.48190095163950086	0.19220886853505018	0.8085171915678562	0.5925072783465073	5.0	0.533130596761114	-0.7465523806291875	1.300145189135584	4.333333333333333	5.833333333333333	1.0479327628467714	0.8661754344065438	3.6943826112807057	3.3333333333333335	3.3333333333333335	11.0	FALSE
2	A3	Combined_curves	1	0	0	0.0314434189185511	0.0314434189185511	0.17661017041979302	0.8127558018892521		0.0314434189185511	0.00019293102190099951	1.119695483731745	0.7775583572442583	1.3268465443424828	0.8445139364397892	1.3333333333333333	0.9524645038180057	0.08304803721619403	0.7277406956179754	0.16666666666666666	1.3333333333333333	0.0	0.0	0.0037674966562837864	0.0	0.0	1.5	FALSE
2	A3	Combined_curves	1	0	0	0.0314434189185511	0.0314434189185511	0.17661017041979302	0.8127558018892521		0.0314434189185511	0.00019293102190099951	0.10275988189743254	0.0964850549397623	0.1884160396741137	0.17262136138002127	3.0	0.20345001253152323	0.15561107828144896	3.406965533868162	2.6666666666666665	3.0	0.0	0.0	2.117107774270786	1.5	1.5	3.1666666666666665	FALSE
2	A3	Combined_curves	1	0	0	0.0314434189185511	0.0314434189185511	0.17661017041979302	0.8127558018892521		0.0314434189185511	0.00019293102190099951	-1.5557245381625089	-2.5709938987197947	0.7542419091664943	0.5620368030070866	4.833333333333333	0.5672430447299377	-1.2262660425706282	1.2219580072417637	4.166666666666667	5.666666666666667	1.2960138797832044	1.342425141026994	3.623915728470445	3.1666666666666665	3.1666666666666665	11.0	FALSE
3	A4	Combined_curves	1	0	0	0.0225629844270686	0.0225629844270686	0.214206185565386	1.1065231586088462		0.0225629844270686	0.00016111049777649345	1.351634130289232	0.886879131226129	1.6712757834116232	0.982556179794296	1.3333333333333333	1.084879053993219	0.19449426425971558	0.6389165483549633	0.16666666666666666	1.3333333333333333	0.0	0.0	0.0011466605973289301	0.0	0.0	1.5	FALSE
3	A4	Combined_curves	1	0	0	0.0225629844270686	0.0225629844270686	0.214206185565386	1.1065231586088462		0.0225629844270686	0.00016111049777649345	0.2561187500744605	0.22854742785903023	0.3790663484623453	0.3214067111144784	3.0	0.29040868597282005	0.2366621559897696	2.386799066419172	2.5	3.0	0.0	0.0	1.8667351181837246	1.5	1.5	3.1666666666666665	FALSE
3	A4	Combined_curves	1	0	0	0.0225629844270686	0.0225629844270686	0.214206185565386	1.1065231586088462		0.0225629844270686	0.00016111049777649345	2.8163123017681633	2.2305025768181554	1.2048269003830905	0.7906490025896462	5.0	0.6738400129811021	-0.739056257049809	1.0286524504435812	4.333333333333333	5.833333333333333	1.078439961239633	0.6716338914558824	3.6548227959214117	3.1666666666666665	3.1666666666666665	11.0	FALSE
4	A5	Combined_curves	1	0	0	0.0228391860778174	0.0228391860778174	0.227750089932523	1.1436714134065		0.0228391860778174	0.0001586904762936398	1.1973757925810369	0.7908132719652936	1.5750884895394708	0.9458838983949382	1.1666666666666667	1.4363472979747895	0.14211750684720914	0.48257631113120336	0.0	1.1666666666666667	0.0	0.0	0.0	0.0	0.0	1.3333333333333333	FALSE
4	A5	Combined_curves	1	0	0	0.0228391860778174	0.0228391860778174	0.227750089932523	1.1436714134065		0.0228391860778174	0.0001586904762936398	0.18707186672170883	0.1700387147104687	0.31094288062474296	0.27074663451488135	2.8333333333333335	0.2833321554647269	0.23978126193391358	2.4464119839240692	2.5	2.8333333333333335	0.0	0.0	1.8574917291118247	1.3333333333333333	1.3333333333333333	3.0	FALSE
