Query	KEGG	m/z similarity	l2fc	p
Sorbitol	C00794	0.89	0.0178538448993065	0.928889192244897
Streptomycin	C00413	0.87	1.30962789356124	0.0456487845589228
Succinic acid	C00042	1.00	0.776325856215254	0.150041200482089
Sucrose	C00089	1.00	-0.159466881836698	0.377390564896532
Taurocholate	C05122	0.99	-0.322465599647063	0.243866223618933
Thiamine	C00378	0.96	0.103366723104624	0.831634271476867
Thymine	C00178	1	0.911738777262947	0.129167985344167
Tryptophan	C00078	1.00	0.0272363497272045	0.973544078677337
TxB2	C05963	0.99	-0.0850548654715435	0.372839285744348
Uracil	C00106	0.97	-0.780553111104063	0.332361158137189
Uridine 5'-diphospho-N-acetylgalactosamine	C00203	0.89	-1.34571964500577	0.152206002671257
Xanthotoxin	C01864	0.68	1.08506582144511	0.180922532490272
