Gene_stable_ID	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Description
YDR210W-B	YDR210W-B	239.069917059561	-0.78635617332286	1.82935718013925	5.59813752924067e-05	0.0412333929792627	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
YDR342C	HXT7	27561.4499403036	-1.66410250258746	0.249675658606013	9.06783517930254e-12	2.00368931345322e-08	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication
YEL070W	DSF1	2984.54161416758	1.65462259670151	0.298109127254705	7.96938979263456e-09	1.05658169870749e-05	Mannitol dehydrogenase; deletion suppresses mutation of mpt5; DSF1 has a paralog, MAN2, that arose from a segmental duplication
YGR067C	YGR067C	3316.00283989564	-13.4157044575905	1.43637190239927	3.54455711977555e-21	1.1748434573496e-17	Putative protein of unknown function; contains a zinc finger motif similar to that of Adr1p
YKL072W	STB6	419.551477092276	0.470806955733515	0.432668590431725	2.95805454305696e-05	0.0245111794574058	Protein that binds Sin3p in a two-hybrid assay; STB6 has a paralog, STB2, that arose from the whole genome duplication
YNL284C-B	YNL284C-B	1874.27093620229	-1.76247107553447	0.146945233864992	1.17793088181888e-33	7.80850381557735e-30	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
YNR073C	YNR073C	577.324786864444	1.60250957660508	0.273641706050588	1.66238308964952e-09	2.75498437532167e-06	Mannitol dehydrogenase; MAN2 has a paralog, DSF1, that arose from a segmental duplication
YOR248W	YOR248W	71.281875427649	-6.9097320683301	2.20690489054293	4.06842275710687e-07	0.000392601591568754	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YPR113W	PIS1	1064.02460609156	0.772013360760478	0.183036101444984	4.14574014328146e-07	0.000392601591568754	Phosphatidylinositol synthase; required for biosynthesis of phosphatidylinositol, which is a precursor for polyphosphoinositides, sphingolipids, and glycolipid anchors for some of the plasma membrane proteins
