Gene_stable_ID	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Description
YML120C	NDI1	3781.41204873898	-0.402038526808295	0.236853977041765	0.00306859049304578	0.0454166890902558	NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in respiratory chain but does not pump protons, in contrast to higher eukaryotic multisubunit respiratory complex I; upon apoptotic stress, is activated in mitochondria by N-terminal cleavage, then translocates to cytoplasm to induce apoptosis; homolog of human AIFM2; yeast NDI1 complements several phenotypes of human cell line with mutated MT-ND4, implicated in Leber hereditary optic neuropathy
YML125C	PGA3	408.694495331318	0.642575691675479	0.295854877828215	0.00027123428460071	0.00903240989798159	Putative cytochrome b5 reductase, localized to the plasma membrane; may be involved in regulation of lifespan; required for maturation of Gas1p and Pho8p, proposed to be involved in protein trafficking; PGA3 has a paralog, AIM33, that arose from the whole genome duplication
YML128C	MSC1	18792.3564117594	-0.30875126118651	0.127837234034599	0.00170507490252009	0.030560990836912	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated
YML130C	ERO1	1616.75562443323	0.583244443963109	0.210857309160103	4.59944710371254e-05	0.0028986408037483	Thiol oxidase required for oxidative protein folding in the ER; essential for maintaining ER redox balance; feedback regulated via reduction and oxidation of regulatory bonds; reduced Pdi1p activates Ero1p by direct reduction of Ero1p regulatory bonds; depletion of thiol substrates and accumulation of oxidized Pdi1p results in inactivation of Ero1p by both Pdi1p-mediated oxidation and autonomous oxidation of Ero1p regulatory bonds; ero1-1 mutation complemented by human ERO1L
YMR014W	BUD22	1412.08290160944	0.590891955466543	0.386894774066414	0.00150045465416578	0.0280963729331171	Protein required for rRNA maturation and ribosomal subunit biogenesis; required for 18S rRNA maturation; also required for small ribosomal subunit biogenesis; cosediments with pre-ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern
YMR031C	EIS1	5589.89051985973	-0.311363903149348	0.145595738907047	0.00314456063959096	0.0460756747716065	Component of the eisosome required for proper eisosome assembly; similar to Uso1p; authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; protein increases in abundance and relocalizes from plasma membrane to cytoplasm upon DNA replication stress; EIS1 has a paralog, YKL050C, that arose from the whole genome duplication
YMR086W	SEG1	1742.44533662468	-0.39087928429794	0.124156865291051	5.65965969916099e-05	0.00337855839531348	Component of eisosome required for proper eisosome assembly; precedes Pil1p/Lsp1p during eisosome formation, controls eisosome length and shape; diffusely distributed, forms heterogeneous patches at plasma membrane in small buds, also found in medium and large buds; expression repressed by cAMP; similar to A. gossypii SEG gene and to S. pombe Sle1p, important for generating eisosomes; SEG1 has a paralog, SEG2, that arose from the whole genome duplication
YMR093W	UTP15	536.104693094326	1.00664697880739	0.314086048914672	1.0285933458932e-05	0.000988292721357384	Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
YMR104C	YPK2	2627.67242100927	-0.81623869108472	0.155939436953105	3.40011366869045e-09	1.24550413826217e-06	Protein kinase similar to S/T protein kinase Ypk1p; functionally redundant with YPK1 at the genetic level; participates in a signaling pathway required for optimal cell wall integrity; involved in the TORC-dependent phosphorylation of ribosomal proteins Rps6a/b (S6); human homolog SGK2 can complement a ypk1 ypk2 double mutant
YMR128W	ECM16	1890.54851049249	0.736254807386794	0.383594389790375	0.000388155091615727	0.0113182934923372	Essential DEAH-box ATP-dependent RNA helicase specific to U3 snoRNP; predominantly nucleolar in distribution; required for 18S rRNA synthesis
YMR140W	SIP5	1713.42269263773	-0.323731576422145	0.154562927300346	0.00292602715235335	0.0444286143521838	Protein of unknown function; interacts with both the Reg1p/Glc7p phosphatase and the Snf1p kinase; forms cytoplasmic foci upon DNA replication stress
YMR185W	RTP1	524.122722325415	0.537837779845121	0.214295291553767	0.000127870198920856	0.00539170673291466	Protein required for the nuclear import and biogenesis of RNA pol II; conflicting evidence on whether null mutant is viable with elongated buds, or inviable; interacts with Rpb2, Rpb3, Nup116p, Nup100p and components of the R2TP complex (Rvb1p, Rvb2p, Pih1p); similar to human TMCO7 gene
YMR194W	RPL36A	915.205765568894	0.52593231123022	0.386527267942968	0.00275421180802689	0.0427048555736656	Ribosomal 60S subunit protein L36A; N-terminally acetylated; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36A has a paralog, RPL36B, that arose from the whole genome duplication
YMR202W	ERG2	447.357081611869	0.339914698117757	0.154213893151244	0.00182823641185595	0.0323724882473949	C-8 sterol isomerase; catalyzes isomerization of delta-8 double bond to delta-7 position at an intermediate step in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutation is functionally complemented by human EBP
YMR206W	YMR206W	1497.40409545064	-0.300219704694884	0.1216349471727	0.00169370365416664	0.0304502979051248	Putative protein of unknown function; not an essential gene; YMR206W has a paralog, YNR014W, that arose from the whole genome duplication
YMR225C	MRPL44	229.046934215823	0.562999538139829	0.25560619020398	0.000309040174578038	0.00984393730001022	Mitochondrial ribosomal protein of the large subunit; protein abundance increases in response to DNA replication stress
YMR229C	RRP5	2170.84941766151	0.607264698482261	0.389626172945554	0.00131276692542352	0.0259061513464891	RNA binding protein involved in synthesis of 18S and 5.8S rRNAs; component of ribosomal small subunit (SSU) processome and 90S preribosome; required for pre-rRNA packaging and compaction of processome into dense terminal balls; part of Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription with role in biogenesis of large ribosomal subunit; binds single stranded tracts of U's; relocalizes from nucleolus to nucleus upon DNA replication stress
YMR230W	RPS10B	1241.44605755098	0.451849332866456	0.296079587315856	0.00315872430377009	0.0461131098853527	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S10, no bacterial homolog; RPS10B has a paralog, RPS10A, that arose from the whole genome duplication; mutations in the human homolog associated with Diamond-Blackfan anemia
YMR232W	FUS2	77.9517140221199	0.538553016162391	0.333433748504379	0.00162739239239172	0.0298559515899474	Cell fusion regulator; cytoplasmic protein localized to shmoo tip; required for alignment of parental nuclei before nuclear fusion during mating; contains a Dbl-homology domain; binds specifically with activated Cdc42p
