Time	936.1666667	2133.333333	3333.833333	4534.166667	5735.5	6933.333333	8135.166667	9332.833333	10534	11733.66667	12934.5	14135.66667	15335	16534.66667	17733.83333	18933.33333	20135	21334	22534.5	23735.33333	24935.66667	26133.83333	27334.33333	28534.66667	29735	30935.66667	32139.16667	33334.16667	34535	35734.5	36936.33333	38133.83333	39335.16667	40534.83333	43742.5	50382.83333	51584.33333	52783.66667	53983.5	55184.83333	56384	57370.33333	57584.33333	58784.16667	59985.16667	61184.5	62384	63585.83333	64786	65984.83333	67185	68385	68604.2	69583.83333	70784.5	71984	73184.16667	74384	75585.33333	76784.5	77983.83333	79183.5	80385.33333	81584.33333	82787	83985.16667	85187.66667
A01	0.015777937	0.016456602	0.021115994	0.029842331	0.034156117	0.037709689	0.04008916	0.041851252	0.044053271	0.044913679	0.047282421	0.047973416	0.050085205	0.051526008	0.053962413	0.056242896	0.059064423	0.061734797	0.064318682	0.068645954	0.070976314	0.073456639	0.077730713	0.082287827	0.085887624	0.089822032	0.096381569	0.101869444	0.108853627	0.116083716	0.123698588	0.136038279	0.14392206	0.149551858	0.130847515	0.055018899	0.063393343	0.062064359	0.064065722	0.063060099	0.067326923	0.052626407	0.066890871	0.066111738	0.065767518	0.064829939	0.065086048	0.06173571	0.058508439	0.057251852	0.065089521	0.061406757	0.052550564	0.055938714	0.061324899	0.059544038	0.057331308	0.05381276	0.057097993	0.056630069	0.056397335	0.056321759	0.058825724	0.053368353	0.050586421	0.053218422	0.052919811
A02	0.016056083	0.018811768	0.028644623	0.03634621	0.041027426	0.043138154	0.045987123	0.046257821	0.047834704	0.048600772	0.049942587	0.051817385	0.052919674	0.054639954	0.055781718	0.058429265	0.061734797	0.06398109	0.067413939	0.07043351	0.073829391	0.076477667	0.081280573	0.083713933	0.087891133	0.093224309	0.101155707	0.104278149	0.110117373	0.11862314	0.128662269	0.137250454	0.145352288	0.152519354	0.140167404	0.052477043	0.061488615	0.067502412	0.071625625	0.070885679	0.071887885	0.053590146	0.074109992	0.067416529	0.068823733	0.070253412	0.068468832	0.068028235	0.07657792	0.069089662	0.064999048	0.062311912	0.055705139	0.064572737	0.060917272	0.059386141	0.064149886	0.059624097	0.05671583	0.058113591	0.058113591	0.057799375	0.062893475	0.058588934	0.053365459	0.05524694	0.05539939
A03	0.031443419	0.033817303	0.043398407	0.054338143	0.062809317	0.067065065	0.070163279	0.07161345	0.073177937	0.072807594	0.074484993	0.076095125	0.07657348	0.077827776	0.078900877	0.081180406	0.084021756	0.085783099	0.088745339	0.090908741	0.095584407	0.099504934	0.103793057	0.108979418	0.116614639	0.122309671	0.128662269	0.136794906	0.14313251	0.151194189	0.159292561	0.167578814	0.171399229	0.17661017	0.039594039	0.04346359	0.050442875	0.054263387	0.056012307	0.05269829	0.054413456	0.041153636	0.056939809	0.055553822	0.054942885	0.056012307	0.05954389	0.051819006	0.054119298	0.051163269	0.051817655	0.048461418	0.040400565	0.048671097	0.050013962	0.04518052	0.045247415	0.044980327	0.044715702	0.046597795	0.044780629	0.04372505	0.043987481	0.042814161	0.043203097	0.041216683	0.041979109
A04	0.022562984	0.02405349	0.028747764	0.038797221	0.045113748	0.049729253	0.052476907	0.054037448	0.056551775	0.057563604	0.060348943	0.062311759	0.064403314	0.066630465	0.06820405	0.071796237	0.074673277	0.077924839	0.08038203	0.085054509	0.087891133	0.091018016	0.097991371	0.105132299	0.112809574	0.121757695	0.134535633	0.144238876	0.154356902	0.165606969	0.175294829	0.191454468	0.204791177	0.214206186	0.200960006	0.082490587	0.09004178	0.094117751	0.102588266	0.106238402	0.112421813	0.096724719	0.107975884	0.114504153	0.112940587	0.113328588	0.117147531	0.11190782	0.102587378	0.100564039	0.114502697	0.106608622	0.093893666	0.100446361	0.107602914	0.108605069	0.10343008	0.097184021	0.105377215	0.100328027	0.101633003	0.0986877	0.108100977	0.101036935	0.089606695	0.096381992	0.096724931
A05	0.022839186	0.026870208	0.038980274	0.046939284	0.052183092	0.055399673	0.057485304	0.057720348	0.060026027	0.061161486	0.062311759	0.064403314	0.066370701	0.069000691	0.07061411	0.07373603	0.076957797	0.079490852	0.082490399	0.086306502	0.089822032	0.093893666	0.101869665	0.107476898	0.118219255	0.1289508	0.143448155	0.151689937	0.16277489	0.173988157	0.190043231	0.197818189	0.215101198	0.22775009	0.190244569	0.086517691	0.098117615	0.102838485	0.113458401	0.115554757	0.113723576	0.09513144	0.124398858	0.108727837	0.119978016	0.117548683	0.111392874	0.116880838	0.120659858	0.113980066	0.101155707	0.104409279	0.094567167	0.108477651	0.104765266	0.102109198	0.111779915	0.10343008	0.096610265	0.1016319	0.100331957	0.091018016	0.104643374	0.096274936	0.090039372	0.091458368	0.096039265
A06	0.027321026	0.030371191	0.040275749	0.051599257	0.058271355	0.063060099	0.065853414	0.066717321	0.068468832	0.068734433	0.070795044	0.071887715	0.072622936	0.075239525	0.076190584	0.078802911	0.081783081	0.084330531	0.086516523	0.08906735	0.093001466	0.096724719	0.101512025	0.106237717	0.113328347	0.119570122	0.123838124	0.131865956	0.139856405	0.148249198	0.155874446	0.164540225	0.170118227	0.17793424	0.044383075	0.073177937	0.093225134	0.101155707	0.106114234	0.102476824	0.10525419	0.046122409	0.097421671	0.090697858	0.089607694	0.080188872	0.07666947	0.073456984	0.073841839	0.069357073	0.066630786	0.064829939	0.046325967	0.063226103	0.059704453	0.060430197	0.054715547	0.054792962	0.052624222	0.052994565	0.053365045	0.051963749	0.049092401	0.050156712	0.048391869	0.047627598	0.047282421
A07	0.015659256	0.016577502	0.021115994	0.02890281	0.034212743	0.037829633	0.040838752	0.042814161	0.045046976	0.045582639	0.047213641	0.048530836	0.050514648	0.051963478	0.054037448	0.056939521	0.059224097	0.062726237	0.064827419	0.069624979	0.071522142	0.074109818	0.078802911	0.082998899	0.086621631	0.090799667	0.096954051	0.1025876	0.109736961	0.117147531	0.125806423	0.13770741	0.145991814	0.153185165	0.190647247	0.159637867	0.169935035	0.177744486	0.179840591	0.184880509	0.190043231	0.229643694	0.191859388	0.196777755	0.203080943	0.204576754	0.207164177	0.209780509	0.211541769	0.213982847	0.217127452	0.218714582	0.230595989	0.218942096	0.222844143	0.222612806	0.222151415	0.22307548	0.223307246	0.225635669	0.226103946	0.226807881	0.226338301	0.227985751	0.228931894	0.226338736	0.228458384
A08	0.015659256	0.018138078	0.029423219	0.035995262	0.040775938	0.042749578	0.044647825	0.045113748	0.047282421	0.048600772	0.049304161	0.051235709	0.052183092	0.054413456	0.056088885	0.059064423	0.061570625	0.064742473	0.067676605	0.070886015	0.073549655	0.07657348	0.081682356	0.08330445	0.088317445	0.093893666	0.101988878	0.105867955	0.112035008	0.121345244	0.132750727	0.138165496	0.148411316	0.156893242	0.188441443	0.177555083	0.188640926	0.197192158	0.203296153	0.203293783	0.209561268	0.250658752	0.215774949	0.215549949	0.220312243	0.22586959	0.231551817	0.229643694	0.233715529	0.234440634	0.238342661	0.237117175	0.248354426	0.241556016	0.23932769	0.242552512	0.242053802	0.243302657	0.243803217	0.245816615	0.244808518	0.247338362	0.246576548	0.243302194	0.24657561	0.250145045	0.256110868
A09	0.030159	0.034496819	0.045247415	0.054564362	0.062394839	0.066370701	0.068292202	0.06944621	0.071431002	0.07207101	0.074767332	0.074767681	0.076286219	0.077924839	0.078216747	0.082287827	0.083508907	0.085887624	0.08789133	0.091018016	0.094680564	0.098571538	0.103190105	0.108476722	0.115686752	0.122863695	0.128518271	0.137098511	0.144556279	0.153853754	0.160330721	0.17084897	0.174360703	0.180992904	0.299802435	0.207598216	0.220770653	0.226809622	0.236384422	0.242302926	0.25143098	0.294996604	0.253503013	0.258215283	0.259804222	0.2676099	0.267064831	0.270902619	0.275628278	0.283576255	0.281569902	0.284152462	0.297090258	0.283864092	0.286175339	0.288212176	0.287046345	0.288795902	0.291439759	0.290849511	0.288503769	0.292028914	0.292324859	0.296490646	0.295294749	0.297090814	0.293509736
